Provider Name,Street Address,City,State,Zipcode,County,Phone Number
DUBOIS-DOUGLAS CENTRES,"4747 LINCOLN MALL DRIVE, Suite 301",Mateson,IL,60443,Cook,708- 283 0886
EASTER SEALS JOLIET REGION INC,212 BARNEY DR,JOLIET,IL,60435,Will,815-725 2194
EL VALOR CORPORATION,1850 W 21ST ST,CHICAGO,IL,60608,Cook,312-666-4511
ELM CITY REHABILITATION CENTER,1314 W WALNUT,JACKSONVILLE,IL,62650,Morgan,217-245 9504
ENVISION UNLIMITED,8 S MICHIGAN AVE SUITE 1700,CHICAGO,IL,60603,Cook,312-346-6230
EPIC,1913 W Townline Rd,Peoria,IL,61615,Peoria,309-691-3800
EPILEPSY FOUNDATION OF GREATER SOUTHERN ILLINOIS,3515 NORTH BELT WEST,BELLEVILLE,IL,62226,St Clair,618-236 2181
ESPERANZA COMMUNITY SERVICES,520 N MARSHFIELD AVE,CHICAGO,IL,60622,Cook,312-243 6097
FAMILIES BUILDING DREAMS,"3100 Dundee Road, Suite 402",NORTHBROOK,IL,60062,Cook,847-272 2222
FAMILY ASSOCIATION PLUS,15746 VINE,HARVEY,IL,60426,Cook,708-473 6420
"FAYCO ENTERPRISES, INC.",1313 SUNSET DR,VANDALIA,IL,62471,Fayette,618-283 0638
FIRST ZION HOMES,2246 GLENWOOD DYER RD,LYNWOOD,IL,60411,Cook,708-251-8899
"FIVE STAR INDUSTRIES, INC.",1308 WELLS RD,DUQUOIN,IL,62832,Perry,618-542 5421
FRANCIS HOUSE,285 S FARNHAM STREET,GALESBRUG,IL,61401,Knox,309-343-1550
FUTURES UNLIMITED INC,210 E TORRANCE AVE,PONTIAC,IL,61764,Livingston,815-842 1122
GARDEN CENTER SERVICES,10444 S Kedzie,Chicago,IL,60655,Cook,708-560-4400
"GATEWAY SERVICES, INC.",406 S GOSSE BLVD,PRINCETON,IL,61356,Bureau,815-875 4548
GENESIS CILA HOMES INC,441 S DANTE AVE,GLENWOOD,IL,60425,Cook,708-915 0920
"GENTLE HANDS REHABILITATION, INC",5319 SAWGRASS AVENUE,RICHTON PARK,IL,60471,Cook,708-704 9773
"GLEN BROOK OF VIENNA, INC",801 NORTH FIRST ST.,VIENNA,IL,62995,Johnson,618-658-2005
GLENKIRK,3504 COMMERCIAL AVE.,NORTHBROOK,IL,60062,Cook,847-272 5111
GOLDIE B FLOBERG CENTER,4960 E State Street #300,Rockford,IL,61108,Winnebago,815-708-7479
GOOD SHEPHERD MANOR INC,4129 N. State RTE 1 &17; PO BOX 260,MOMENCE,IL,60954,Kankakee,815-472 3700
"HABILITATIVE SYSTEMS, INC.",415 S KILPATRICK,CHICAGO,IL,60644,Cook,773-261 2252
HARMONY HOUSE CILA INC,16708 Kimbark Ave,South Holland,IL,60473,Cook,312-741-1818
HAWKINS CILA CARE CORPORATION,20230 Mohawk Trail,Olympia Fields,IL,60461,Cook,708-250 0603
HEALTH CARE MANAGEMENT CORPORATION,PO Box 871,SALEM,IL,62881,Marion,618-548 0309
HELP AT HOME LLC,"1 N STATE STREET, SUITE 800",CHICAGO,IL,60602,Cook,219-322 2730
HELPING HAND CENTER,9649 W 55TH ST,COUNTRYSIDE,IL,60525,Cook,708-352 3580
"HEROES OF THE GAME, INC",2022 JACKSON STREET,Beloit,WI,53511,N/A,815-262 0699
HOMES OF HOPE INC,"705 EAST LINCOLN ST, SUITE 313",NORMAL,IL,61761,McLean,309-862 0607
HOPE SCHOOL,15 East Hazel Dell Lane,SPRINGFIELD,IL,62712,Sangamon,217-953-0894
HORIZON HOUSE OF IL VALLEY INC,2000 PLANK RD,PERU,IL,61354,LaSalle,815-223 4488
HUMAN RESOURCES CENTER OF EDGAR AND CLARK COUNTIES,PO Box 1118 753 E COURT ST,PARIS,IL,61944,Edgar,217-465-4118
HUMAN SUPPORT SERVICES,988 N. Illinois Route 3,WATERLOO,IL,62298,Monroe,618-939 4444
Illinois Housing and Disability Services Inc,710 E Ogden Ave Ste 160,NAPERVILLE,IL,60563,DuPage,630- 470-9668
ILLINOIS MENTOR COMMUNITY SERVICES INC,179 E Bethel Drive,Bourbonnais,IL,60914,Kankakee,815-464-3239
INDEPENDENT LIVING SERVICES INC,156 E VIENNA STREET,ANNA,IL,62906,Union,618-833-9094
INDIVIDUAL ADVOCACY GROUP INC,1289 WINDHAM PARKWAY,ROMEOVILLE,IL,60446,Will,630-759 0201
INFINICARE LLC,1939 WAUKEGAN RD STE 300,GLENVIEW,IL,60025,Cook,(847) 630-6787
Inspire Greatness Within Inc,2490 GLEN EAGLES DR,Olympia Fields,IL,60461,Cook,630-660-6374
JCFS CHICAGO,6639 N Kedzie,CHICAGO,IL,60645,Cook,312-545-2924
JOSEPH REHABILITATION CENTER,21209 SHANNON AVENUE,MATTESON,IL,60433,Cook,708-720-3315
KANKAKEE COUNTY TRAINING CENTER,595 North Industrial Drive,BRADLEY,IL,60915,Kankakee,815-939-9980
KARRIEMS DEV SVCS INC,15501 S KEDZIE,MARKHAM,IL,60428,Cook,708-212-3520
"KASKASKIA WORKSHOP, INC.",299 SWAN AVE P O BOX 1946,CENTRALIA,IL,62801,Marion,618-533 4423
KESHET,610 Academy Dr,NORTHBROOK,IL,60062,Cook,847-205 1234
KREIDER SERVICES INC.,500 ANCHOR RD P O BOX 366,DIXON,IL,61021,Lee,815-288 6691
"KRYPTON, INC",110 Florsheim Drive,Anna,IL,62906,Union,618-524-3444
LAMBS FARM,14245 W Rockland Rd,LIBERTYVILLE,IL,60048,Lake,847-362 4636
LARC,19043 WENTWORTH,LANSING,IL,60438,Cook,708-474 1540
L'ARCHE CHICAGO,7313 Madison St,Forest Park,IL,60130,Cook,708-660 1600
LAWRENCE CRAWFORD ASSOC FOR EXCEPTIONAL CITIZENS,905 W MULBERRY,ROBINSON,IL,62454,Crawford,618-546 5625
LEEDA SERVICES OF ILLINOIS INC,7344 N. Western Avenue,CHICAGO,IL,60645,Cook,773-274 9760
LESTER AND ROSALIE ANIXTER CENTER,"1945 W Wilson Ave, Ste 3000",CHICAGO,IL,60640,Cook,773-571-0238
LIBERTY ENTERPRISES,1304 WEST MACK AVE,MARION,IL,62959,Williamson,618-519-0031
LIGHT OF HOPE,22858 Millard Ave,RICHTON PARK,IL,60471,Cook,773-759-1297
LINCOLN SQUARE INC,110 Florsheim Drive,Anna,IL,62906,Union,618-833-1214
LITTLE CITY FOUNDATION,1760 W Algonquin Rd,Palatine,IL,60067,Cook,847-358-5510
"LITTLE FRIENDS, INC",27555 DIEHL,Warrenville,IL,60555,DuPage,630-355-6533
LIVING IN A FAMILY ENVIRONMENT MANAGEMENT CORP,3136 MYERS LANE,MAKANDA,IL,62958,Jackson,618-967 7106
LOCUST STREET RESOURCE CENTER,320 SOUTH LOCUST STREET,CARLINVILLE,IL,62626,Macoupin,217-854 3166
LUTHERAN SOCIAL SERVICES OF ILLINOIS,1001 E Touhy Avenue Suite 50,Des Plaines,IL,60018,Cook,847-390-1434
"MACON RESOURCES, INC",2121 HUBBARD AVE,DECATUR,IL,62526,Macon,217-875-1910
MALCOLM EATON ENTERPRISES,570 W LAMM RD,FREEPORT,IL,61032,Stephenson,815-235 7181
MARCFIRST,2000 Jacobssen Drive,NORMAL,IL,61761,McLean,309-451 8888
MARION COUNTY HORIZON CENTER,PO BOX 745,SALEM,IL,62881,Marion,618-548 0309
MENTAL HEALTH CENTERS OF CENTRAL ILLINOIS,710 N 8TH ST,SPRINGFIELD,IL,62702,Sangamon,217-525 1064
"MIDWEST CARE INC D.B.A KIN CARE, INC",4113 N LINCOLN AVE,CHICAGO,IL,60645,Cook,773-975 7777
MILESTONE INC,4060 MCFARLAND RD,LOVES PARK,IL,61111,Winnebago,815-654 6100
MILLENNIUM GARDENS,116 N Normandy Dr,Chicago Heights,IL,60411,Cook,708-754-5089
MISERICORDIA HOME,6300 N RIDGE,CHICAGO,IL,60660,Cook,773-973-6300
MOSAIC OF ILLINOIS,220 N LAFAYETTE ST,MACOMB,IL,61455,McDonough,309-837 5506
"MOULTRIE COUNTY BEACON, INC.",401 W WATER,SULLIVAN,IL,61951,Moultrie,217-728 7396
MULFORD HOMES INC,7701 KENTON AVE,SKOKIE,IL,60076,Cook,847-568 9500
NEW STAR INC,1005 W END AVE,CHICAGO HEIGHTS,IL,60611,Cook,708-755 8030
NU-CARE INC,19150 S KEDZIE AVE,Flossmoor,IL,60422,Cook,708-922 2111
OAK-LEYDEN DEVELOPMENT SERVICE,411 W CHICAGO AVE,OAK PARK,IL,60302,Cook,708-524-1050
"Ohana Community Services, LLC",5124 W North Ave,Chicago,IL,60639,Cook,773-313-6646
OPEN DOOR REHAB CENTER,405 S WELLS ST,SANDWICH,IL,60548,DeKalb,815-786 8468
OPPORTUNITY HOUSE INC,357 N. CALIFORNIA ST,SYCAMORE,IL,60178,DeKalb,815-895 5108
ORCHARD VILLAGE,7660 Gross Point Road,SKOKIE,IL,60077,Cook,847-967 1800
OTTAWA FRIENDSHIP HOUSE,1718 N 2525 RD,OTTAWA,IL,61350,LaSalle,815-434 0737
OUR DIRECTIONS INC,PO BOX 2084,HERRIN,IL,62948,Williamson,618-988-8178
PACTT LEARNING CENTER,7101 N GREENVIEW AVE.,CHICAGO,IL,60626,Cook,773-338 9102
PARENTS and FRIENDS OF THE CMNTY,932 Kernon Drive,BELLEVILLE,IL,62223,St Clair,618-489-1133
PARK LAWN SCHOOL and ACTIVITY,10833 S LAPORTE AVE,OAK LAWN,IL,60453,Cook,708-425 3344
PATHWAY HOUSE INC,P O BOX 207 806 W 10TH,JOHNSTON CITY,IL,62951,Williamson,618-983-8254
"PATHWAY SERVICES UNLIMITED, INC.",1905 WEST MORTON AVE,JACKSONVILLE,IL,62650,Morgan,217-479 2300
PATTERSON HOUSE INC,636 W. IMBODEN DRIVE P.O. BOX 25527,DECATUR,IL,62525,Macon,217-422 6510
PIATT COUNTY MENTAL HEALTH CENTER,1921 N MARKET ST,MONTICELLO,IL,61856,Piatt,217-762 5371
"PILOT HOUSE OF CAIRO, INC",3010 Park Ave,Cairo,IL,62914,Alexander,618-734-9705
"PINNACLE OPPORTUNITIES, INC",285 S Farnham Road,Galesburg,IL,61401,Knox,309-343-1550
PIONEER CENTER FOR HUMAN SERVICES,4031 W. DAYTON ST,MCHENRY,IL,60050,McHenry,815-344-1230
PIONEER CONCEPTS INC,285 S. Farnham,Galesburg,IL,61401,Knox,309-343-1550
"PROGRESS MANAGEMENT, INC",1120 NORTH DIVISION,CARTERVILLE,IL,62918,Williamson,618-985 8351
PROGRESSIVE HOUSING INC,20180 GOVERNORS DRIVE SUITE 300,OLYMPIA FIELDS,IL,60461,Cook,708-283 1530
R and J ENTERPRISES COUNTRY LIVING INC,221 EAST AVE,ANNA,IL,62906,Union,618-833 7418
"RANDOM ACT OF KINDNESS DEVELOPMENTAL AGENCY, INC",11346 SOUTH PARNELL,CHICAGO,IL,60628,Cook,773-701 6681
RAY GRAHAM ASSOCIATION,"901 Warrenville Road, Suite 500",LISLE,IL,60532,DuPage,630-620 2222
RCAP ENTERPRISES INC,"607 N 4th St., Suite A",Chillicothe,IL,61523,Peoria,309-249 3829
"REDEMPTA SERVICES, NFP",PO BOX 553,RICHTON PARK,IL,60471,Cook,708-253-3128
REHABILITATION AND VOCATIONAL EDUCATION PROGRAM,214 W DAVIE STREET,ANNA,IL,62906,Union,618-833-8525
RESIDENTIAL DEVELOPERS INC,4102 Belmont Point,CHAMPAIGN,IL,61822,Champaign,217-398-0754
RESIDENTIAL OPTIONS INC,4 Emmie L Kaus Ln,Alton,IL,62003,Madison,618-465 0044
RIMLAND SERVICES NFP,1101 Gregory St,Des Plaines,IL,60016,Cook,847-328 8326
RIVERSIDE FOUNDATION,14588 WEST HIGHWAY 22,LINCOLNSHIRE,IL,60069,Lake,847-634 3973
ROCK RIVER VALLEY SELF HELP ENTERPRISES,2300 W. LE FEVRE ROAD,STERLING,IL,61081,Whiteside,815-626 3115
"ROYAL LIVING CENTER, INC",200 SOUTH 9TH,NEW BADEN,IL,62265,Clinton,618-588 7295
"Universal Homes, LLC",3473 S KING DR # 133,Chicago,IL,60628,Cook,773-563-0991
SAZE COMMUNITY SERVICES INC,2200 Hicks Road Suite 101,Rolling Meadows,IL,60008,Cook,847-496-7558
SEARCH DEVELOPMENTAL CENTER,1925 N CLYBOURN AVE STE 200,CHICAGO,IL,60614,Cook,773-305 5000
SERTOMA CENTRE INC,4343 W 123RD ST,ALSIP,IL,60803,Cook,708-371 9700
"Shalom Manor Care, Inc",8147 Seminole Ct,Orland Park,IL,60462,Cook,(312) 927-0937
SHAMROCK SERVICES GROUP,13023 N Shiloh DrPO Box 814,MOUNT VERNON,IL,62864,Jefferson,618-927-0290
SHELBY COUNTY COMMUNITY SERVICES INC,1810 W S 3RD STREET,SHELBYVILLE,IL,62565,Shelby,217-774 5587
"SHORE COMMUNITY SERVICES, INC",8350 LARAMIE AVE,SKOKIE,IL,60077,Cook,847-982 2030
SKYSTAR RESIDENTIAL SERVICES,406 E DOUGLAS,DESOTO,IL,62924,Jackson,618-867 3188
SOLEDAD SOCIAL SERVICES CORP,6059 W Belmont Ave,CHICAGO,IL,60634,Cook,773-481-9096
SOUTH CHICAGO PARENTS and FRIEND,10241 S COMMERCIAL AVE,CHICAGO,IL,60617,Cook,773-734 2222
SOUTHEASTERN RESIDENTIAL ALTERNATIVES INC,1424 LOCUST STREET,ELDORADO,IL,62930,Saline,618-273-5927
SOUTHERN ILLINOIS COMMUNITY SUPPORT SERVICES D.B.A. MY LIFE MY HOME,215 E ILLINOIS ST;  P.O. Box 19,NEW BADEN,IL,62265,Clinton,618-588-7136
SPARC,232 BRUNS LANE,SPRINGFIELD,IL,62702,Sangamon,217-793 2100
SPECIALIZED TRAINING FOR ADULT REHABILITATION,"20 North 13st Street, P.O. BOX 938",MURPHYSBORO,IL,62966,Jackson,618-687 2378
ST COLETTA OF WISCONSIN INC,N4637 COUNTY ROAD Y,JEFFERSON,WI,53549,N/A,920-674 4330
STREATOR UNLIMITED INC,305 N Sterling St PO Box 706,STREATOR,IL,61364,Livingston,815-673 5574
"Supporting Community Independence, LLC",1 Polo Grounds Ct,Bethalto,IL,62010,Madison,(618) 806-4344
SUPPORT SYSTEMS AND SERVICES INC,5801 Mt Pleasant Ln,Belleville,IL,62223,St Clair,618-489-5025
T.O.C. INCORPORATED OF ILLINOIS,4709 ABBEY LN,MATTESON,IL,60443,Cook,708-710-0640
TASH INC,PO Box 338 - 1303 N 7th Street,MURPHYSBORO,IL,62966,Jackson,618-867-3881
"TAZEWELL COUNTY RESOURCE CENTER, INC.",21310 Illinois Rt #9,TREMONT,IL,61568,Tazewell,309-347 7148
"TDL GROUP, INC",PO Box 814,MOUNT VERNON,IL,62864,Jefferson,618-244 7701
THE ARC OF IROQUOIS COUNTY,700 East Elm St,WATSEKA,IL,60970,Iroquois,815-432 5288
THE ARC OF THE QUAD CITIES AREA,4016 9th St,Rock Island,IL,61201,Rock Island,309-786 6474
"The Esther Services Project of So IL, Inc",103 East Street,Xenia,IL,62899,Clay,618-572-8234
TOPVIEW CORPORATION,16250 Louis Avenue,South Holland,IL,60473,Cook,708-298-8550
TRADE INDUSTRIES,"1020 E. Randolph St P.O. Box 70,",MCLEANSBORO,IL,62859,Hamilton,618-643 4321
TRANSITIONS OF WESTERN ILLINOIS,4409 Maine St,QUINCY,IL,62305,Adams,217-223-0413
TRI-CARE INC,9208 S Colfax,CHICAGO,IL,60617,Cook,773-375 6146
TRINITY SERVICES INC,301 Veterans Parkway,NEW LENOX,IL,60451,Will,815-485 6197
UNITED CEREBRAL PALSY SEGUIN OF GREATER CHICAGO,3100 South Central Ave,CICERO,IL,60804,Cook,708-863-3803
"Universal Homes, LLC",PO Box 2209,Calumet City,IL,60409,Cook,773-490-8349
VICTORY HOMES,20139 Driftwood Ave,Lynwood,IL,60411,Cook,773-507-6379
VILLA HOUSE INC,1112 Washington St,JOHNSTON CITY,IL,62951,Williamson,618-983 8513
VILLAGE INN OF COBDEN,PO Box 457,COBDEN,IL,62920,Union,618-893 4222
"VISTA CARE ILLINOIS, LLC",708 Erie Ave Ste 201,Sheboygan,WI,53081,N/A,920-457-0826
WABASH AREA VOCATIONAL INC,"1420 W 3rd St, PO Box 487",MT CARMEL,IL,62863,Wabash,618-262 8614
WARREN ACHIEVEMENT CENTER,1220 East 2nd Ave,MONMOUTH,IL,61642,Warren,309-734 3131
WASHINGTON COUNTY VOCATIONAL WORKSHOP,781 Holzhauer Dr PO Box 273,NASHVILLE,IL,62263,Washington,618-327 4461
WILLIAM M BEDELL ACHIEVEMENT,P O BOX 349 - 400 S Main,WOOD RIVER,IL,62095,Madison,618-251 2175
