Name,Zipcode,CoEd,Wheelchair Access,24HR Support
Active Visions,60630,Male,No,Yes
Active Visions,60630,,No,
Active Visions,60631,Female,No,Yes
Active Visions,60634,Male,No,Yes
Active Visions,60634,Male,No,Yes
Active Visions,60634,Male,No,Yes
Active Visions,60634,,No,
Active Visions,60641,,No,
Active Visions,60646,Male,No,Yes
Active Visions,60646,Male,No,Yes
Active Visions,60646,Co-Ed,No,Yes
Active Visions,60647,,No,
Active Visions,60659,,No,
Active Visions,60714,Female,Yes,Yes
Active Visions,60714,,No,
Ada S. McKinley Comm. Svcs.,60616,Female,Yes,Yes
Ada S. McKinley Comm. Svcs.,60617,Co-Ed,No,Yes
Ada S. McKinley Comm. Svcs.,60621,Male,Yes,Yes
Ada S. McKinley Comm. Svcs.,60628,Co-Ed,Yes,Yes
Ada S. McKinley Comm. Svcs.,60636,Co-Ed,Yes,Yes
Ada S. McKinley Comm. Svcs.,60643,Male,Yes,Yes
Ada S. McKinley Comm. Svcs.,60644,Male,Yes,Yes
Ada S. McKinley Comm. Svcs.,60644,Co-Ed,Yes,Yes
Adams Co.MHC dba Transitions,62301,Co-Ed,No,Yes
Adams Co.MHC dba Transitions,62301,Male,No,Yes
Adams Co.MHC dba Transitions,62301,,No,
Adams Co.MHC dba Transitions,62301,Female,No,Yes
Adams Co.MHC dba Transitions,62301,,No,
Adams Co.MHC dba Transitions,62376,,No,
"Alpha Omega Consulting, Inc.",62521,Co-Ed,Yes,Yes
"Alpha Omega Consulting, Inc.",62521,Male,Yes,Yes
"Alpha Omega Consulting, Inc.",62521,Male,No,Yes
"Alpha Omega Consulting, Inc.",62521,Co-Ed,Yes,Yes
"Alpha Omega Consulting, Inc.",62521,Female,No,Yes
"Alpha Omega Consulting, Inc.",62526,Male,No,Yes
"Alpha Omega Consulting, Inc.",62526,,No,
"Alpha Omega Consulting, Inc.",62656,Co-Ed,No,Yes
"Alpha Omega Consulting, Inc.",62656,Female,No,Yes
"Alpha Omega Consulting, Inc.",62656,Male,No,Yes
Alvin Eades,62650,Female,No,Yes
American Residential Care,60107,Male,Yes,Yes
American Residential Care,60107,,No,
Anixter Center,60076,,No,
Anixter Center,60201,Co-Ed,Yes,Yes
Anixter Center,60202,Co-Ed,Yes,No
Anixter Center,60614,,Yes,
Anixter Center,60618,Male,Yes,Yes
Anixter Center,60626,,No,
Anixter Center,60626,Male,No,Yes
Anixter Center,60626,Co-Ed,No,No
Anixter Center,60626,Co-Ed,Yes,No
Anixter Center,60626,,No,
Anixter Center,60640,,No,
Anixter Center,60645,,No,
Anixter Center,60659,Co-Ed,No,Yes
Anixter Center,60659,Male,No,Yes
Anixter Center,60659,Co-Ed,No,Yes
Anixter Center,60707,Co-Ed,No,Yes
Apostolic Christian Lifepoints,61550,Female,No,Yes
Apostolic Christian Lifepoints,61550,Female,No,Yes
Apostolic Christian Lifepoints,61550,Female,Yes,Yes
Apostolic Christian Lifepoints,61550,Female,No,Yes
Apostolic Christian Lifepoints,61550,Male,No,Yes
Apostolic Christian Lifepoints,61550,Male,No,Yes
Apostolic Christian Lifepoints,61550,Male,No,Yes
Apostolic Christian Lifepoints,61550,Male,No,Yes
Apostolic Christian Lifepoints,61550,Female,No,Yes
Apostolic Christian Lifepoints,61550,Female,No,Yes
Apostolic Christian Lifepoints,61550,Male,No,Yes
Apostolic Christian Lifepoints,61550,Male,No,Yes
Apostolic Christian Lifepoints,61550,Male,No,Yes
Apostolic Christian Lifepoints,61550,,No,
ARC of Iroquois Co.,60924,Male,No,No
ARC of Iroquois Co.,60928,Co-Ed,No,Yes
ARC of Iroquois Co.,60953,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Male,No,Yes
ARC of Iroquois Co.,60970,Female,No,Yes
ARC of Iroquois Co.,60970,Male,No,Yes
ARC of Iroquois Co.,60970,Female,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Male,No,Yes
ARC of Iroquois Co.,60970,Male,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
ARC of Iroquois Co.,60970,Co-Ed,No,Yes
Aspire of Illinois,60104,Co-Ed,No,Yes
Aspire of Illinois,60130,Co-Ed,No,Yes
Aspire of Illinois,60131,Female,No,Yes
Aspire of Illinois,60153,Co-Ed,No,Yes
Aspire of Illinois,60154,Male,No,Yes
Aspire of Illinois,60154,Co-Ed,No,Yes
Aspire of Illinois,60154,Male,Yes,Yes
Aspire of Illinois,60154,,No,
Aspire of Illinois,60154,,No,
Aspire of Illinois,60162,Female,No,Yes
Aspire of Illinois,60162,Female,Yes,Yes
Aspire of Illinois,60163,Male,No,Yes
Aspire of Illinois,60163,Male,No,Yes
Aspire of Illinois,60163,Co-Ed,No,Yes
Aspire of Illinois,60513,Co-Ed,No,Yes
Aspire of Illinois,60525,Female,No,Yes
Aspire of Illinois,60525,,No,
Aspire of Illinois,60526,,No,
Aspire of Illinois,60546,,No,
Assoc. for Individual Development,60107,,No,
Assoc. for Individual Development,60119,,No,
Assoc. for Individual Development,60119,,No,
Assoc. for Individual Development,60120,,No,
Assoc. for Individual Development,60123,Co-Ed,No,Yes
Assoc. for Individual Development,60123,Female,Yes,Yes
Assoc. for Individual Development,60123,Female,No,Yes
Assoc. for Individual Development,60123,Female,Yes,Yes
Assoc. for Individual Development,60123,Male,Yes,Yes
Assoc. for Individual Development,60123,Female,Yes,Yes
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60123,Male,No,Yes
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60123,,No,
Assoc. for Individual Development,60134,Male,No,Yes
Assoc. for Individual Development,60174,Male,Yes,Yes
Assoc. for Individual Development,60174,,No,
Assoc. for Individual Development,60175,Co-Ed,No,Yes
Assoc. for Individual Development,60175,,No,
Assoc. for Individual Development,60177,Co-Ed,No,Yes
Assoc. for Individual Development,60177,,No,
Assoc. for Individual Development,60502,,No,
Assoc. for Individual Development,60502,,No,
Assoc. for Individual Development,60503,,No,
Assoc. for Individual Development,60504,Female,Yes,Yes
Assoc. for Individual Development,60504,,No,
Assoc. for Individual Development,60504,,No,
Assoc. for Individual Development,60505,Male,Yes,Yes
Assoc. for Individual Development,60505,Female,No,Yes
Assoc. for Individual Development,60505,Female,Yes,Yes
Assoc. for Individual Development,60505,Female,Yes,Yes
Assoc. for Individual Development,60505,,No,
Assoc. for Individual Development,60505,,No,
Assoc. for Individual Development,60505,Co-Ed,No,Yes
Assoc. for Individual Development,60505,,No,
Assoc. for Individual Development,60505,Male,No,Yes
Assoc. for Individual Development,60506,Co-Ed,Yes,Yes
Assoc. for Individual Development,60506,Male,Yes,Yes
Assoc. for Individual Development,60506,Female,Yes,Yes
Assoc. for Individual Development,60506,Male,Yes,Yes
Assoc. for Individual Development,60506,Male,No,Yes
Assoc. for Individual Development,60506,Female,Yes,Yes
Assoc. for Individual Development,60506,Co-Ed,No,No
Assoc. for Individual Development,60506,,No,
Assoc. for Individual Development,60506,Male,No,Yes
Assoc. for Individual Development,60506,Male,No,Yes
Assoc. for Individual Development,60506,Co-Ed,No,Yes
Assoc. for Individual Development,60506,Female,No,No
Assoc. for Individual Development,60506,Co-Ed,No,Yes
Assoc. for Individual Development,60510,Female,No,Yes
Assoc. for Individual Development,60510,,No,
Assoc. for Individual Development,60510,,No,
Assoc. for Individual Development,60510,Female,No,Yes
Assoc. for Individual Development,60543,,No,
Assoc. for Individual Development,60543,,No,
Assoc. for Individual Development,60543,,No,
Assoc. for Individual Development,60560,Co-Ed,Yes,Yes
Assoc. for Individual Development,60560,Male,Yes,Yes
Assoc. for Individual Development,60560,Male,No,Yes
Assoc. for Individual Development,60560,Male,No,Yes
Assoc. for Individual Development,60575,,No,
Assoc. for the Better of Retarded Adults (ABRA),60966,Co-Ed,No,Yes
Assoc. for the Better of Retarded Adults (ABRA),60966,Co-Ed,No,Yes
Assoc. for the Better of Retarded Adults (ABRA),60970,Co-Ed,No,Yes
Association House of Chicago,60622,Co-Ed,No,Yes
"At Home Mission, NFP",60025,Male,No,Yes
"At Home Mission, NFP",60056,Male,No,Yes
"At Home Mission, NFP",60068,Male,No,Yes
"Aurora Home Care, Inc.",60070,Male,No,Yes
"Aurora Home Care, Inc.",60090,Male,No,Yes
"Aurora Home Care, Inc.",60090,Male,No,Yes
Austin Special Chicago,60618,Male,No,Yes
Austin Special Chicago,60630,Co-Ed,No,Yes
Austin Special Chicago,60644,Male,No,Yes
Avancer Homes LLC,60112,Female,No,Yes
Avancer Homes LLC,60112,Male,No,Yes
Avancer Homes LLC,60112,Male,No,Yes
Avancer Homes LLC,60115,Female,No,Yes
Avancer Homes LLC,60115,Male,No,Yes
Avancer Homes LLC,60115,Male,No,Yes
Avancer Homes LLC,60115,Male,No,Yes
Avancer Homes LLC,60135,Male,No,Yes
Avancer Homes LLC,60135,Female,No,Yes
Avancer Homes LLC,60135,Male,No,Yes
Avancer Homes LLC,60135,Male,No,Yes
Avancer Homes LLC,60135,Female,No,Yes
Avancer Homes LLC,60135,Male,No,Yes
Avancer Homes LLC,60135,Co-Ed,No,Yes
Avancer Homes LLC,60178,Male,No,Yes
Avancer Homes LLC,61020,Male,No,Yes
Avancer Homes LLC,61020,Female,Yes,Yes
Avancer Homes LLC,61020,Male,No,Yes
Avenues to Independence,60016,Co-Ed,Yes,Yes
Avenues to Independence,60016,Male,No,Yes
Avenues to Independence,60068,Co-Ed,Yes,Yes
Avenues to Independence,60068,,No,
Avenues to Independence,60068,Co-Ed,No,Yes
Avenues to Independence,60714,Co-Ed,No,No
Bartlett Learning Ctr.,60555,Male,No,Yes
Bethesda Lutheran Communities,60112,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,60112,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,60152,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,60152,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,60504,Co-Ed,No,Yes
Bethesda Lutheran Communities,60506,Male,No,Yes
Bethesda Lutheran Communities,60544,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,60554,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,60560,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,60563,Co-Ed,No,Yes
Bethesda Lutheran Communities,60586,Co-Ed,No,Yes
Bethesda Lutheran Communities,61032,,Yes,
Bethesda Lutheran Communities,61032,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,61032,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,62558,,No,
Bethesda Lutheran Communities,62629,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,62629,Female,Yes,Yes
Bethesda Lutheran Communities,62684,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,62707,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,62711,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,62712,Co-Ed,Yes,Yes
Bethesda Lutheran Communities,62712,Female,Yes,Yes
Bethshan Assoc.,60452,Male,Yes,Yes
Bethshan Assoc.,60452,Co-Ed,No,Yes
Bethshan Assoc.,60452,Female,No,Yes
Bethshan Assoc.,60452,Female,No,Yes
Bethshan Assoc.,60462,Female,Yes,Yes
Bethshan Assoc.,60462,Male,No,Yes
Bethshan Assoc.,60462,Male,Yes,Yes
Bethshan Assoc.,60462,Male,No,Yes
Bethshan Assoc.,60462,Female,No,Yes
Bethshan Assoc.,60462,Male,No,Yes
Bethshan Assoc.,60462,Female,No,Yes
Bethshan Assoc.,60463,Female,Yes,Yes
Bethshan Assoc.,60463,Co-Ed,Yes,Yes
Bethshan Assoc.,60477,Female,No,Yes
Beverly Farm Living Option,62002,Female,No,Yes
Beverly Farm Living Option,62002,Male,Yes,Yes
Beverly Farm Living Option,62035,Co-Ed,No,Yes
"Beverly Hills Home Care, Inc.",60643,Male,No,Yes
"Beverly Hills Home Care, Inc.",60643,Male,No,Yes
Blue Island Citizens for DD,60406,Female,No,Yes
Blue Island Citizens for DD,60406,Male,No,Yes
Blue Island Citizens for DD,60406,Male,No,Yes
Blue Island Citizens for DD,60406,,No,
Blue Island Citizens for DD,60406,Male,No,Yes
Blue Island Citizens for DD,60406,Male,No,Yes
Blue Island Citizens for DD,60406,,No,
Blue Island Citizens for DD,60406,,No,
Blue Island Citizens for DD,60406,Male,No,Yes
Blue Island Citizens for DD,60426,,No,
Blue Island Citizens for DD,60445,Female,No,Yes
Blue Island Citizens for DD,60462,,No,
Blue Island Citizens for DD,60469,Female,No,Yes
Blue Island Citizens for DD,60478,,No,
Blue Island Citizens for DD,60628,,No,
Blue Island Citizens for DD,60827,,No,
Blue Island Citizens for DD,60827,,No,
Blue Island Citizens for DD,60827,Male,No,Yes
Breath of Life Professional Services,60526,,No,
"Bridgeway, Inc.",61455,Co-Ed,Yes,Yes
"Bridgeway, Inc.",61455,Co-Ed,Yes,Yes
"Bridgeway, Inc.",61455,Co-Ed,Yes,Yes
"Bridgeway, Inc.",61455,,No,
"Bridgeway, Inc.",61554,Co-Ed,No,Yes
"Bridgeway, Inc.",61554,Male,Yes,Yes
"Bridgeway, Inc.",61554,Co-Ed,Yes,Yes
Brook Hill Management Inc.,62863,Co-Ed,Yes,Yes
Brook Hill Management Inc.,62930,Co-Ed,Yes,Yes
Brook Hill Management Inc.,62946,,Yes,
Brook Hill Management Inc.,62946,Co-Ed,Yes,Yes
Career Development Ctr.,62837,,No,
Career Development Ctr.,62837,,No,
Career Development Ctr.,62837,,No,
Career Development Ctr.,62837,,No,
Caring Hands CILA of Illinois,60411,Male,No,Yes
Caring Hands CILA of Illinois,60466,Female,No,Yes
CCAR Industries,61920,Co-Ed,Yes,Yes
CCAR Industries,61920,Co-Ed,No,Yes
CCAR Industries,61920,Co-Ed,Yes,Yes
CCAR Industries,61920,Female,Yes,Yes
CCAR Industries,61920,Male,No,Yes
CCAR Industries,61920,,No,
CCAR Industries,61920,Co-Ed,No,Yes
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,Co-Ed,No,No
CCAR Industries,61920,Co-Ed,Yes,Yes
CCAR Industries,61920,Co-Ed,Yes,Yes
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,Male,No,Yes
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61920,,No,
CCAR Industries,61938,,No,
CCAR Industries,61938,,No,
CCAR Industries,61938,,No,
CCAR Industries,61938,,No,
CCAR Industries,61938,,No,
CCAR Industries,61938,,No,
CCAR Industries,62420,,No,
CCAR Industries,62428,,No,
CCAR Industries,62468,,No,
CCRC - Community Link,62216,Co-Ed,No,Yes
CCRC - Community Link,62218,,No,
CCRC - Community Link,62230,Co-Ed,Yes,Yes
CCRC - Community Link,62230,Co-Ed,Yes,Yes
CCRC - Community Link,62230,Co-Ed,No,Yes
CCRC - Community Link,62231,Co-Ed,Yes,Yes
CCRC - Community Link,62231,,No,
CCRC - Community Link,62245,Co-Ed,No,Yes
CCRC - Community Link,62249,Co-Ed,Yes,Yes
CCRC - Community Link,62293,Co-Ed,Yes,Yes
Center For Disability Services,60404,Female,Yes,Yes
Center For Disability Services,60435,Male,Yes,Yes
Center For Disability Services,60435,Co-Ed,Yes,Yes
Center For Disability Services,60481,Co-Ed,Yes,Yes
Center For Residential Alternatives,60406,,No,
Center For Residential Alternatives,60409,Male,No,Yes
Center For Residential Alternatives,60419,Co-Ed,No,Yes
Center On Deafness,60025,Female,No,Yes
Center On Deafness,60025,Male,No,Yes
Center On Deafness,60026,Co-Ed,No,Yes
Centerstone of Illinois Inc.,62812,,No,
Centerstone of Illinois Inc.,62812,,No,
Centerstone of Illinois Inc.,62812,,No,
Centerstone of Illinois Inc.,62890,,No,
Centerstone of Illinois Inc.,62896,,No,
Centerstone of Illinois Inc.,62896,Male,Yes,Yes
Centerstone of Illinois Inc.,62896,,No,
Centerstone of Illinois Inc.,62921,,No,
Centerstone of Illinois Inc.,62948,,No,
Centerstone of Illinois Inc.,62948,Male,Yes,Yes
Centerstone of Illinois Inc.,62948,Co-Ed,Yes,Yes
Centerstone of Illinois Inc.,62948,Co-Ed,Yes,Yes
Centerstone of Illinois Inc.,62948,Co-Ed,Yes,Yes
Centerstone of Illinois Inc.,62959,Co-Ed,Yes,Yes
Centerstone of Illinois Inc.,62959,,No,
Centerstone of Illinois Inc.,62959,,No,
Centerstone of Illinois Inc.,62959,Male,Yes,Yes
Centerstone of Illinois Inc.,62959,Co-Ed,Yes,Yes
Centerstone of Illinois Inc.,62959,,No,
Cerebral Palsy of SW IL,62208,Co-Ed,Yes,Yes
Cerebral Palsy of SW IL,62208,Co-Ed,Yes,Yes
Cerebral Palsy of SW IL,62208,Co-Ed,Yes,Yes
Cerebral Palsy of SW IL,62208,Co-Ed,Yes,Yes
"Chamness Care, Inc.",62896,Co-Ed,Yes,Yes
"Chamness Care, Inc.",62906,Male,Yes,Yes
"Chamness Care, Inc.",62920,Male,Yes,Yes
"Chamness Care, Inc.",62920,Male,Yes,Yes
"Chamness Care, Inc.",62920,Female,No,Yes
"Chamness Care, Inc.",62951,Co-Ed,No,Yes
"Chamness Care, Inc.",62952,Female,Yes,Yes
"Chamness Care, Inc.",62952,Female,No,Yes
"Chamness Care, Inc.",62952,Female,Yes,Yes
"Chamness Care, Inc.",62956,Female,No,Yes
"Chamness Care, Inc.",62956,Male,No,Yes
"Chamness Care, Inc.",62956,Male,No,Yes
Christian Co. Mental Health Ctr.,62568,Female,No,Yes
Christian Co. Mental Health Ctr.,62568,Co-Ed,No,Yes
Christian Co. Mental Health Ctr.,62568,Male,No,Yes
Christian Co. Mental Health Ctr.,62568,,No,
Christian Co. Mental Health Ctr.,62568,,No,
Christian Social Services of IL,62208,Co-Ed,Yes,Yes
Christian Social Services of IL,62226,Male,Yes,Yes
Christian Social Services of IL,62232,Male,Yes,Yes
Christian Social Services of IL,62232,Male,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
CILA Corporation,62839,Male,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
CILA Corporation,62839,Co-Ed,Yes,Yes
Circle of Support,60005,,No,
Circle of Support,60068,,No,
Circle of Support,60068,,No,
Circle of Support,60406,,No,
Circle of Support,60411,,No,
Circle of Support,60438,,No,
Circle of Support,60561,,No,
Circle of Support,60608,,No,
Circle of Support,60609,,No,
Circle of Support,60609,,No,
Circle of Support,60609,,No,
Circle of Support,60609,,No,
Circle of Support,60609,,No,
Circle of Support,60612,,No,
Circle of Support,60617,,No,
Circle of Support,60617,,No,
Circle of Support,60617,,No,
Circle of Support,60619,,No,
Circle of Support,60619,,No,
Circle of Support,60619,,No,
Circle of Support,60620,,No,
Circle of Support,60621,,No,
Circle of Support,60623,,No,
Circle of Support,60624,,No,
Circle of Support,60628,,No,
Circle of Support,60628,,No,
Circle of Support,60628,,No,
Circle of Support,60628,,No,
Circle of Support,60629,,No,
Circle of Support,60636,,No,
Circle of Support,60636,,No,
Circle of Support,60643,,No,
Circle of Support,60649,,No,
Circle of Support,60649,,No,
Circle of Support,60652,,No,
Circle of Support,60652,,No,
Circle of Support,60652,,No,
Circle of Support,60653,,No,
Circle of Support,60653,,No,
Circle of Support,60655,,No,
Circle of Support,60655,,No,
Clearbrook,60004,,No,
Clearbrook,60004,,No,
Clearbrook,60004,,No,
Clearbrook,60004,,No,
Clearbrook,60005,Male,Yes,Yes
Clearbrook,60005,,No,
Clearbrook,60005,Co-Ed,No,No
Clearbrook,60005,Male,No,Yes
Clearbrook,60005,,No,
Clearbrook,60005,Male,No,Yes
Clearbrook,60007,Male,No,Yes
Clearbrook,60007,Male,No,No
Clearbrook,60007,Female,No,Yes
Clearbrook,60007,Male,No,Yes
Clearbrook,60007,Female,No,Yes
Clearbrook,60007,,No,
Clearbrook,60007,Female,No,Yes
Clearbrook,60008,Female,No,Yes
Clearbrook,60008,Female,No,Yes
Clearbrook,60008,Female,Yes,Yes
Clearbrook,60010,,No,
Clearbrook,60013,,No,
Clearbrook,60014,Male,No,Yes
Clearbrook,60014,,No,
Clearbrook,60015,Co-Ed,No,Yes
Clearbrook,60015,,No,
Clearbrook,60016,,No,
Clearbrook,60016,,No,
Clearbrook,60016,,No,
Clearbrook,60020,,No,
Clearbrook,60022,,No,
Clearbrook,60025,Female,No,Yes
Clearbrook,60025,,No,
Clearbrook,60025,Male,No,Yes
Clearbrook,60030,,No,
Clearbrook,60040,,No,
Clearbrook,60041,,No,
Clearbrook,60042,,No,
Clearbrook,60044,,No,
Clearbrook,60045,Male,No,Yes
Clearbrook,60046,,No,
Clearbrook,60047,,No,
Clearbrook,60056,Male,No,Yes
Clearbrook,60056,Female,No,Yes
Clearbrook,60056,,No,
Clearbrook,60056,Female,Yes,Yes
Clearbrook,60056,Male,No,Yes
Clearbrook,60062,Male,No,Yes
Clearbrook,60062,,No,
Clearbrook,60062,,No,
Clearbrook,60064,,No,
Clearbrook,60067,Male,No,Yes
Clearbrook,60067,,No,
Clearbrook,60067,,No,
Clearbrook,60070,Male,No,Yes
Clearbrook,60070,,No,
Clearbrook,60073,,No,
Clearbrook,60074,Male,No,Yes
Clearbrook,60074,,No,
Clearbrook,60076,Female,No,Yes
Clearbrook,60076,,No,
Clearbrook,60077,,No,
Clearbrook,60089,Male,No,Yes
Clearbrook,60089,,No,
Clearbrook,60089,Male,No,Yes
Clearbrook,60089,,No,
Clearbrook,60090,Male,No,Yes
Clearbrook,60091,,No,
Clearbrook,60091,,No,
Clearbrook,60091,,No,
Clearbrook,60091,,No,
Clearbrook,60093,Male,Yes,Yes
Clearbrook,60096,,No,
Clearbrook,60106,Female,No,Yes
Clearbrook,60107,,No,
Clearbrook,60110,Male,No,No
Clearbrook,60118,,No,
Clearbrook,60120,,No,
Clearbrook,60126,,No,
Clearbrook,60133,Female,No,Yes
Clearbrook,60134,,No,
Clearbrook,60137,,No,
Clearbrook,60139,,No,
Clearbrook,60148,,No,
Clearbrook,60148,,No,
Clearbrook,60148,,No,
Clearbrook,60148,,No,
Clearbrook,60152,,No,
Clearbrook,60169,Female,No,Yes
Clearbrook,60169,Male,No,Yes
Clearbrook,60169,,No,
Clearbrook,60192,Male,No,Yes
Clearbrook,60192,Female,No,Yes
Clearbrook,60192,Male,No,Yes
Clearbrook,60192,,No,
Clearbrook,60193,Female,No,Yes
Clearbrook,60193,,No,
Clearbrook,60193,,No,
Clearbrook,60194,,No,
Clearbrook,60195,,No,
Clearbrook,60439,,No,
Clearbrook,60441,,No,
Clearbrook,60447,,No,
Clearbrook,60477,,No,
Clearbrook,60510,,No,
Clearbrook,60521,,No,
