Provider Name,Street Address,City,State,Zipcode,County,Phone Number
CLEARBROOK WEST,3980 FAIRFAX,ROLLING MDWS,IL,60008,COOK,(847) 253-5155
CLINTON MANOR LIVING CENTER-DD,111 E ILLINOIS ST,NEW BADEN,IL,62265,CLINTON,(618) 588-4924
COLEMAN HOUSE,6300 NORTH RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
COLLINS SQUARE,145 S CROSSWELL AVE,BRADLEY,IL,60915,KANKAKEE,(815) 932-8668
CONNELLY HOME,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
CONRAD HOUSE,6300 NORTH RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
COUNTRY CLUB TERRACE,4900 W 183RD ST,CTRY CLUB HILLS,IL,60478,COOK,(708) 647-0752
COUNTRYVIEW TERRACE,52 OLD RT 45 #116,LOUISVILLE,IL,62858,CLAY,(309) 691-8113
CURTISS COURT,2883 S TAYLOR AVE,SPRINGFIELD,IL,62703,SANGAMON,(217) 585-1188
DANFORTH HOUSE,4540 S MICHIGAN AVE,CHICAGO,IL,60653,COOK,(773) 373-1073
DAVIES SQUARE,1817 CRESENT DR,PEKIN,IL,61554,TAZEWELL,(309) 347-2609
DAVIS HOUSE,4237 S INDIANA AVE,CHICAGO,IL,60653,COOK,(773) 373-1044
DEARBORN COURT,520 S DEARBORN ST,KANKAKEE,IL,60901,KANKAKEE,(815) 933-7374
DIAMONDVIEW,338 COUNTRY CLUB RD,CENTRALIA,IL,62801,MARION,(618) 532-9630
DIVISION STREET HOME,317 W DIVISION ST,AMBOY,IL,61310,LEE,(815) 857-4105
DOLTON COURT,644 SHERIDAN AVE,DOLTON,IL,60419,COOK,(708) 201-0990
DOUGLAS TERRACE,324 E DOUGLAS AVE,JACKSONVILLE,IL,62650,MORGAN,(217) 245-0818
EAGLE COURT,1890 E EAGLE ST,KANKAKEE,IL,60901,KANKAKEE,(815) 932-9369
EDWARDSVILLE TERRACE,808 SW PLACE,EDWARDSVILLE,IL,62025,MADISON,(618) 656-6161
EFFINGHAM TERRACE,1101 S 3RD ST,EFFINGHAM,IL,62401,EFFINGHAM,(217) 342-9313
EMERALD ESTATES,1577 E MYRTLE PO BOX 232,CANTON,IL,61520,FULTON,(309) 647-0440
EXCEPTIONAL CR & TRAINING CTR,2601 WOODLAWN RD,STERLING,IL,61081,WHITESIDE,(815) 626-5820
FIRST STREET GROUP HOME,407 N 1ST ST,ASHTON,IL,61006,LEE,(815) 453-2074
FLOSSMOOR TERRACE,3951 W 190TH ST,FLOSSMOOR,IL,60422,COOK,(708) 922-1373
FOSTERBURG TERRACE,4617 WONDERLAND DR,ALTON,IL,62002,MADISON,(618) 465-8845
FRANKLIN GROVE GROUP HOME,PO BOX 5,FRANKLIN GROVE,IL,61031,LEE,(815) 456-2708
FREEBURG TERRACE,#4 HILL MINE RD,FREEBURG,IL,62243,ST. CLAIR,(618) 539-4882
FREEPORT TERRACE,2942 HIGHLANDVIEW DR,FREEPORT,IL,61032,STEPHENSON,(815) 232-8713
FROEHLICH HOUSE,356 S MICHIGAN AVE,GALESBURG,IL,61401,KNOX,(309) 342-8893
GAINES MILL PLACE,3310 GAINES MILL RD,SPRINGFIELD,IL,62704,SANGAMON,(217) 793-0074
GARDEN CENTER SERVICES,8345 S AUSTIN AVE,BURBANK,IL,60459,COOK,(708) 636-0054
GLENWOOD TERRACE-SPRINGFIELD,2724 GLENWOOD AVE,SPRINGFIELD,IL,62704,SANGAMON,(217) 523-0168
GLENWOOD VILLA,3247 GLENWOOD AVE,ROCKFORD,IL,61101,WINNEBAGO,(815) 965-1043
GOLFVIEW DEVELOPMENTAL CENTER,9555 W GOLF RD,DES PLAINES,IL,60016,COOK,(847) 827-6628
GORDON JONES TERRACE,421 N ROCHESTER ST,LANARK,IL,61046,CARROLL,(815) 493-6555
HALLAM TERRACE,1108 TAYLOR ST,ROCKFORD,IL,61101,WINNEBAGO,(815) 963-0570
HAMMETT HOUSE,1845 - 1ST AVENUE,STERLING,IL,61081,WHITESIDE,(815) 626-9547
HAMMOND HOUSE,6701 S MORGAN,CHICAGO,IL,60621,COOK,(773) 994-0833
HARTEMAYER HOME,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
HARRIS PLACE,209 HARRIS RD,E PEORIA,IL,61611,TAZEWELL,(309) 698-9600
HERBSTRITT HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
HIGHVIEW TERRACE,409 N HIGH ST,PARIS,IL,61944,EDGAR,(217) 463-1809
HOLLAND TERRACE,15175 STATE ST,S HOLLAND,IL,60473,COOK,(708) 333-5013
HUNT TERRACE,1180 S 4TH ST,KANKAKEE,IL,60901,KANKAKEE,(815) 939-1011
IONA GLOS SLC,50 S FAIRBANK ST,ADDISON,IL,60101,DUPAGE,(630) 543-2440
JOSHUA MANOR,120 W LOCUST ST,HOYLETON,IL,62803,WASHINGTON,(618) 493-6071
KANKAKEE COURT,260 S CHICAGO AVE,KANKAKEE,IL,60901,KANKAKEE,(815) 936-0905
KANTHAK HOUSE,724 2ND AVE,OTTAWA,IL,61350,LASALLE,(815) 434-4443
KAPERL HOME,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
KEPLEY HOUSE,408 E WASHINGTON,PITTSFIELD,IL,62363,PIKE,(217) 285-4955
KNIGHT HOUSE,6600 S STEWART,CHICAGO,IL,60621,COOK,(773) 994-0775
LAFAYETTE TERRACE,826 W LAFAYETTE,JACKSONVILLE,IL,62650,MORGAN,(217) 245-8200
LAWRENCE PLACE,715 S WASHINGTON ST,LINCOLN,IL,62656,LOGAN,(217) 732-3625
LEBANON TERRACE,221 E 3RD ST,LEBANON,IL,62254,ST. CLAIR,(618) 537-4133
LEWIS TERRACE,1916 16TH STR,NORTH CHICAGO,IL,60064,LAKE,(847) 473-0229
LINCOLN TERRACE,2324 N KICKAPOO ST,LINCOLN,IL,62656,LOGAN,(217) 732-7597
LINDEN ESTATE,1000 LINDEN ST,MORTON,IL,61550,TAZEWELL,(309) 266-9781
LINTON TERRACE,330 LINTON AVE,WOOD RIVER,IL,62095,MADISON,(618) 258-1212
LYNWOOD ESTATES,301 RODDY RD,SALEM,IL,62881,MARION,(618) 548-0353
LYNWOOD TERRACE,2317 E 207TH ST,LYNWOOD,IL,60411,COOK,(708) 758-3988
MADISON TERRACE,95 N MAIN,WOOD RIVER,IL,62095,MADISON,(618) 254-4400
MAHONEY HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
MAPLE TERRACE,1510 N 4TH ST,QUINCY,IL,62301,ADAMS,(217) 223-4333
MARIAN CTR FOR ADULT RESIDENTS,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
MARIGOLD ESTATES,3240 BARNEY AVE,PEKIN,IL,61554,TAZEWELL,(309) 347-6514
MARKLUND DREHER HOME,1 SOUTH 382 WYATT DRIVE,GENEVA,IL,60134,KANE,(630) 593-5168
MARKLUND HAVERKAMPF HOME,1 S 394 WYATT DRIVE,GENEVA,IL,60134,KANE,(630) 593-5483
MARKLUND RICHARD HOME,1 SOUTH 410 WYATT DRIVE,GENEVA,IL,60134,KANE,(630) 593-5161
MARKLUND SAYERS HOME,1 S 383 WYATT DRIVE,GENEVA,IL,60134,KANE,(630) 593-5496
MARKLUND TOMMY HOME,1 S 385 WYATT DRIVE,GENEVA,IL,60134,KANE,(630) 593-5463
MARKLUND VAN DER MOLEN HOME,1 S 406 WYATT DRIVE,GENEVA,IL,60134,KANE,(630) 593-5463
MARKLUND WASMOND HOME,1435 SUMMIT STREET,ELGIN,IL,60120,KANE,(847) 741-1609
MATTESON COURT,237 CENTRAL AVE,MATTESON,IL,60443,COOK,(708) 720-4931
MAZZA HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
MCAULEY RESIDENCE,2060 WEST GRANVILLE,CHICAGO,IL,60659,COOK,(773) 973-6300
MCGOWAN HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
MCNERNEY HOUSE,6300 NORTH RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
MEADOWS,3250 S PLUM GROVE RD,ROLLING MDWS,IL,60008,COOK,(847) 397-0055
MILESTONE-ELMWOOD EAST,2642 ELMWOOD RD,ROCKFORD,IL,61103,WINNEBAGO,(815) 877-7001
MILESTONE-ELMWOOD HEIGHTS,2662 ELMWOOD RD,ROCKFORD,IL,61103,WINNEBAGO,(815) 877-7001
MILESTONE-SUN VALLEY,3351 SUN VALLEY,ROCKFORD,IL,61103,WINNEBAGO,(815) 654-6616
MINIAT HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
MONTGOMERY TERRACE,215 N WALNUT,NOKOMIS,IL,62075,MONTGOMERY,(217) 563-7013
MOORE HOUSE,9135 S BRANDON AVE,CHICAGO,IL,60617,COOK,(773) 731-4033
MOUNT ST. JOSEPH,24955 N. HIGHWAY 12,LAKE ZURICH,IL,60047,LAKE,(847) 438-5050
MULBERRY MANOR,612 E DAVIE ST BOX 88,ANNA,IL,62906,UNION,(618) 833-6012
NEW MAIN GROUP HOME,1201 MIDDLE RD,DIXON,IL,61021,LEE,(815) 288-7621
OAKWOOD ESTATE,2213 VETERANS RD,MORTON,IL,61550,TAZEWELL,(309) 266-9781
O'DONNELL HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
OLSON TERRACE,3006 ALIDA ST,ROCKFORD,IL,61101,WINNEBAGO,(815) 963-4927
OTTAWA GROUP HOME,726 N OTTAWA,DIXON,IL,61021,LEE,(815) 288-7397
PARK LAWN CENTER,5831 W 115TH ST,ALSIP,IL,60803,COOK,(708) 396-1117
PARK LAWN HOME,12615 S KOSTNER AVE,ALSIP,IL,60803,COOK,(708) 385-1982
PARK PLACE,205 PARK AVE,PANA,IL,62557,CHRISTIAN,(217) 562-7023
PARK PLACE - CENTRALIA,332 COUNTRY CLUB RD,CENTRALIA,IL,62801,MARION,(618) 533-7922
PATTERSON HOUSE,307 E JEFFERSON,SULLIVAN,IL,61951,MOULTRIE,(217) 728-4357
PERSHING TERRACE,460 PERSHING,WOOD RIVER,IL,62095,MADISON,(618) 258-1616
PETERMAN HOUSE,6300 NORTH RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
PIASA MANOR,110 N ALBY COURT,GODFREY,IL,62035,MADISON,(618) 466-9242
PINE TERRACE,2017 NORTH PINE,WAUKEGAN,IL,60085,LAKE,(847) 662-6444
PLONKA TERRACE,184 MAPLE AVE,GALESBURG,IL,61401,KNOX,(309) 343-3801
POLK HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
PRAIRIE HOUSE,1770 SAUK TRAIL,SAUK VLG,IL,60411,COOK,(708) 757-6729
QUINCY TERRACE,1233 N 6TH ST,QUINCY,IL,62301,ADAMS,(217) 223-2901
RACHUY HOUSE,605 N MAIN ST,STOCKTON,IL,61085,JO DAVIES,(815) 777-9525
RAVISLOE TERRACE,18227 RAVISLOE,CTRY CLUB HILLS,IL,60478,COOK,(708) 922-1240
RENAISSANCE CARE CENTER-DD,1675 E ASH ST,CANTON,IL,6220,FULTON,(309) 647-5631
RICE HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
RIDGE TERRACE,2911 HIGHLANDVIEW DR,FREEPORT,IL,61032,STEPHENSON,(815) 232-8729
RIVER COURT,760 E RIVER ST,KANKAKEE,IL,60901,KANKAKEE,(815) 933-2700
RIVERSIDE FOUNDATION,14588 W HWY 22,LINCOLNSHIRE,IL,60069,LAKE,(847) 634-3973
ROCKTON COURT,2615 N ROCKTON AVE,ROCKFORD,IL,61101,WINNEBAGO,(815) 965-1249
ROSE HOUSE,7301 34TH AVE,MOLINE,IL,61265,ROCK ISLAND,(309) 796-2949
ROSE-ANGELA HALL,4200 N AUSTIN,CHICAGO,IL,60634,COOK,(773) 545-8300
ROSEMARY HOME,6300 N. RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
ROY COURT,362 ROY ST,BOURBONNAIS,IL,60914,KANKAKEE,(815) 939-3680
SCHULTZ HOUSE,340 BRYAN AVE,DANVILLE,IL,61832,VERMILION,(217) 443-0222
SEARLES GROUP HOME,3310 SEARLES AVE,ROCKFORD,IL,61101,WINNEBAGO,(815) 965-3390
SEBORG TERRACE,3024 ALIDA ST,ROCKFORD,IL,61101,WINNEBAGO,(815) 963-0332
SEYMOUR TERRACE,1504 16TH STR,NORTH CHICAGO,IL,60064,LAKE,(847) 473-0229
SHADY OAKS EAST,16240 PARKER RD,LOCKPORT,IL,60441,WILL,(708) 301-6870
SHADY OAKS WEST,16220 PARKER RD,LOCKPORT,IL,60441,WILL,(708) 301-0571
SHANNON HOUSE,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
SHELTERED VILLAGE,600 BORDEN,WOODSTOCK,IL,60098,MCHENRY,(815) 338-6440
SHORE HOMES EAST,503 MICHIGAN AVE,EVANSTON,IL,60202,COOK,(847) 982-2030
SMITH SQUARE,7401 34TH AVE,MOLINE,IL,61265,ROCK ISLAND,(309) 796-2676
SPARTA TERRACE,1501 MELMAR DR,SPARTA,IL,62286,RANDOLPH,(618) 443-2122
SPAULDING TERRACE,16307 SPAULDING AVE,MARKHAM,IL,60426,COOK,(708) 225-1549
SPRING CREEK TERRACE,3155 E MOUND RD,DECATUR,IL,62526,MACON,(217) 877-0671
STATION COURT,275 W STATION ST,KANKAKEE,IL,60901,KANKAKEE,(815) 939-4492
STERN SQUARE,1328 W 7TH ST,STERLING,IL,61081,WHITESIDE,(815) 625-1600
STEVENS HOUSE,2182 WINDISH DR,GALESBURG,IL,61401,KNOX,(309) 344-1950
STOUFFER TERRACE,910 S 5TH ST,OREGON,IL,61061,OGLE,(815) 732-3178
STRIVE,415 A STREET,PROPHETSTOWN,IL,61277,WHITESIDE,(815) 537-5358
SWANN SPECIAL CARE CENTER,109 KENWOOD RD,CHAMPAIGN,IL,61821,CHAMPAIGN,(217) 356-5164
TAC HOUSE,421 CONSTITUTION DR,AURORA,IL,60506,KANE,(630) 859-7650
TANNER PLACE,321 CHESTNUT ST,PARIS,IL,61944,EDGAR,(217) 463-4444
TAYLOR HOUSE,3021 TAYLOR AVE,SPRINGFIELD,IL,62703,SANGAMON,(217) 529-2053
TAYLORVILLE TERRACE,921 E MARKET ST,TAYLORVILLE,IL,62568,CHRISTIAN,(217) 287-7787
THELMA TERRACE,1450 VIRGINIA AVE,WOOD RIVER,IL,62095,MADISON,(618) 259-2777
THOMAS HERBSTRITT HOUSE,4003 N RTE 1 & 17 PO BOX 260,MOMENCE,IL,60954,KANKAKEE,(815) 472-3700
THOMAS LOMBARD HOUSE,4129A N RTE 1 & 17 PO BOX 260,MOMENCE,IL,60954,KANKAKEE,(815) 472-3700
TIBSTRA HOUSE,271 E 161ST ST,S HOLLAND,IL,60473,COOK,(708) 596-4442
TORRENCE PLACE,2601 223RD ST,SAUK VLG,IL,60411,COOK,(708) 758-7211
TRINITY LIVING CENTER #1,3360 UGLAND DR,JOLIET,IL,60432,WILL,(815) 485-6197
TRINITY LIVING CENTER #2,3302 HORSESHOE LN,JOLIET,IL,60432,WILL,(815) 485-6197
TRULSON HOUSE,260 S MICHIGAN AVE,GALESBURG,IL,61401,KNOX,(309) 342-8985
TWIN RIVERS ESTATE,4710 PIERCE LN,GODFREY,IL,62035,MADISON,(618) 466-5255
VAHLE TERRACE,301 MAPLE SUMMIT RD,JERSEYVILLE,IL,62052,JERSEY,(618) 498-5242
VICTORIAN MANOR,815 E VINE,TAYLORVILLE,IL,62568,CHRISTIAN,(217) 287-1484
WALSH HOME,6300 N RIDGE AVE,CHICAGO,IL,60660,COOK,(773) 973-6300
WALSH TERRACE,2016 WINDISH DR,GALESBURG,IL,61401,KNOX,(309) 344-2337
WASSON STREET PLACE,205 E WASSON,AMBOY,IL,61310,LEE,(815) 857-2349
WAUKEGAN TERRACE,660S LEWIS STR,WAUKEGAN,IL,60085,LAKE,(847) 473-0229
WETHERELL PLACE,1026 N MERCHANT ST,EFFINGHAM,IL,62401,EFFINGHAM,(217) 342-6621
WHISPERING OAKS,201 SPRING STREET,ROSICLARE,IL,62982,HARDIN,(618) 285-6974
WILLOW HOUSE,555 BURNHAM,UNIVERSITY PARK,IL,60466,WILL,(708) 534-5821
ZACHARY HOUSE,1100 E AVENUE,STREAMWOOD,IL,60107,COOK,(630) 483-0537
