City,County,Phone Number,Provider Name,State,Street Address,Zipcode,Service Type
Columbia,,(270) 384-2220,Assisted Transportation Systems,KY,238 Development Dr,42728,Adaptive Equipment/Assitive Technology Services
Lafayette,,(877) 338-9193,"Rest Assured, LLC",IN,180 Professional Ct,47905,Adaptive Equipment/Assitive Technology Services
Saint Louis,,(877) 664-4565,Especial Needs,MO,1850 Borman Ct,63146,Adaptive Equipment/Assitive Technology Services
Saint Louis,,(314) 989-1010,United Access LLC,MO,9389 Natural Bridge Rd,63134,Adaptive Equipment/Assitive Technology Services
Saint Louis,,(314) 645-6200,Tech Electronics Inc,MO,6437 Manchester Ave,63139,Adaptive Equipment/Assitive Technology Services
Elmhurst,DUPAGE,(630) 777-8079,"U.S. Jaclean, Inc.",IL,849 N Church Ct.,60126,Adaptive Equipment/Assitive Technology Services
Brimfield,Peoria,(309) 303-5799,Lehman Plumbing Inc,IL,11203 N Maher Rd,61517,Adaptive Equipment/Assitive Technology Services
Elk Grove Village,Cook,(847) 758-9820,"Metropolitan Fire Protection, Inc.",IL,175 Gordon St,60007,Adaptive Equipment/Assitive Technology Services
Morton,Tazewell,(309) 266-9778,F E Moran Inc Fire Protection,IL,818 N Main St,61550,Adaptive Equipment/Assitive Technology Services
Roselle,DUPAGE,(414) 758-2891,Access Elevator Inc,IL,42 Congress Cir W,60172,Adaptive Equipment/Assitive Technology Services
Evansville,,(812) 402-8267,Superior Van & Mobility,IN,3414 Interstate Dr,47715,Adaptive Equipment/Assitive Technology Services
Merion Sta,,(800) 231-6329,Fun and Function,PA,304 Old Lancaster Rd,19066,Adaptive Equipment/Assitive Technology Services
O'Fallon,St Charles,(314) 266-2678,Gray Matters Alliance,IL,112 W Pitman St,63366,Adaptive Equipment/Assitive Technology Services
Palatine,Cook,(847) 202-1249 x304,European Service at Home Inc,IL,520 N Hicks Rd,60067,Adaptive Equipment/Assitive Technology Services
Woodstock,McHenry,(815) 527-7297,"AMS Auto, Inc",IL,1340 Cobblestone Way,60098,Adaptive Equipment/Assitive Technology Services
"Centerville,",,(419) 673-7450,Assistive Solutions,OH,"93R Compark Rd,",45459,Adaptive Equipment/Assitive Technology Services
Skokie,Cook,(847) 933-9517,Custom Van Conversions & Mobility,Il,"3720 Oakton St, Skokie",60076,Adaptive Equipment/Assitive Technology Services
Skokie,Cook,(847) 982-9500,Sherman Dodge,IL,7601 SKOKIE BLVD,60077,Adaptive Equipment/Assitive Technology Services
EAST PEORIA,Tazewell,(309) 444-3444,"Illinois Home Solutions of America, Inc.",IL,3410 N Main St,61611,Adaptive Equipment/Assitive Technology Services
Saint Charles,,(636) 447-1414,101 Mobility - St. Louis,MO,4025 S Old Highway 94 Ste T,63304,Adaptive Equipment/Assitive Technology Services
Rockford,Winnebago,(815) 282-5277,Ramp Roll Inc,IL,5032 Bent Tree Ct,61114,Adaptive Equipment/Assitive Technology Services
EAST PEORIA,Tazewell,(309) 698-9290,"Ada Total Access, Inc",IL,125 THUNDERBIRD LN STE 5,61611,Adaptive Equipment/Assitive Technology Services
Decatur,Macon,(217) 424-8900,ProMax Construction,IL,141 W Main St,62523,Adaptive Equipment/Assitive Technology Services
Glenview,Cook,(847) 724-8380,CNC Medical Equipment Inc,IL,1814 Glenview Rd,60025,Adaptive Equipment/Assitive Technology Services
Sullivan,Moultrie,(800) 525-6237,"Healthcom, Inc",IL,1600 W Jackson St,61951,Adaptive Equipment/Assitive Technology Services
Griffin,,(678) 572-4410,Purple Ribbon Mobility,GA,410 E Taylor St Ste K1,30223,Adaptive Equipment/Assitive Technology Services
Breese,Clinton,(618) 526-4131,Southern Bus and Mobility,IL,"12950 KOCH LN, P.O. Box 37",62230,Adaptive Equipment/Assitive Technology Services
Frankfort,Will,(815) 469-4500,Express Kitchen and Bath,IL,9500 W Manhattan Monee Rd,60423,Adaptive Equipment/Assitive Technology Services
Champaign,,(217) 359-5800,CCM Champaign County Mobility,IL,1508 W Anthony Dr,61821,Adaptive Equipment/Assitive Technology Services
"PALATINE,",Cook,(847) 991-6330,Kalander Enterprises,IL,"921 N Martin Dr,",60067,Adaptive Equipment/Assitive Technology Services
Framingham,,(800) 451-0525,Lifeline Systems Incorporated,MA,111 LAWRENCE ST,1702,Adaptive Equipment/Assitive Technology Services
Chicago,Cook,(312) 565-4875,Envision Unlimited,IL,8 S Michigan Ave Ste 1700,60603,Adaptive Equipment/Assitive Technology Services
Hasbrouck Heights,,(800) 793-7900,Flaghouse,NJ,601 Flaghouse Dr,7604,Adaptive Equipment/Assitive Technology Services
Highwood,Lake,(847) 433-3636,Frank Zanotti Tile & Stone Co,IL,6 Walker Ave,60040,Adaptive Equipment/Assitive Technology Services
Gurnee,Lake,(847) 269-1974,Lab Construction Inc,IL,17334 W Westwind Dr,60031,Adaptive Equipment/Assitive Technology Services
Chicago,COOK,(773) 478-8450,Independent Living Solutions,IL,6327 N PULASKI RD,60646,Adaptive Equipment/Assitive Technology Services
ARLINGTON HEIGHTS,Cook,(847) 215-9490,"Extended Home Living Services, Inc.",IL,210 W Campus Dr Ste B,60004,Adaptive Equipment/Assitive Technology Services
ARLINGTON HEIGHTS,Cook,(847) 385-5004,Creating Opportunities,IL,1837 W CENTRAL RD,60005,Adaptive Equipment/Assitive Technology Services
Bloomington,McLean,(309) 874-2700,Tech Electronics of Illinois,IL,417 Olympia Dr,61704,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Binghamton,,(607) 669-4822,Craftsmen/Access Unlimited,NY,570 Hance Rd,13903,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Eldorado,Saline,(618) 273-9019,Beck's Home Health Care,IL,1411 Locust St,62930,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Bollingbrook,Will,(312) 451-3369,Pietros Remodeling Services Inc,IL,413 Clifton Ln,60440,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Boston,,(617) 208-4020,"Simplisafe, Inc",MA,294 Washington St Fl 9,2108,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Blue Island,Cook,(708) 489-9400,Central States Automatic Spring,IL,13740 California Ave,60406,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Davenport,,(563) 344-0053,"Iossi Construction, Inc.",IA,1040 W 4th St,52802,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Elgin,Kane,(847) 695-5990,Fox Valley Fire & Safety,IL,2730 Pinnacle Dr,60124,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Gibsonia,,(724) 444-6400,TFH (USA) Ltd,PA,4537 Gibsonia Rd,15044,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Springfield,Sangamon,(217) 241-1548,Personal Mobility,IL,2924 N Dirksen Pkwy,62702,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Springfield,Sangamon,(217) 529-9300,DreamMaker Bath & Kitchen,IL,"3730 Wabash Ave,",62711,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Springfield,Sangamon,(217) 725-1138,Flooring of Springfield,IL,2205 Wabash Ave Ste 102,62704,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
St Charles,Kane,(630) 584-6588,The Bike Rack,IL,2930 Campton Hills Dr,60175,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
St Charles,Kane,(630) 940-8781,Fox Valley Home Services,IL,204 S 13th Ave,60174,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Highland,Madison,(618) 310-0086,"Options HME, Inc.",IL,25 Shannon Ct,62249,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Fairview Heights,St. Clair,(618) 397-4391,Jacob Family Enterprises,IL,"9723 W State Route 161,",62208,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Hillside,Cook,(708) 547-7555,First Fence Inc,IL,10 N Elm St,60162,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Tinley Park,Cook,(708) 532-9600,Bettenhausen Motor Sales,IL,17514 Oak Park Ave,60477,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Jefferson,,(515) 386-8900,"All Ability Cycles, LLC",IA,208 E Lincolnway,50129,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Kankakee,Kankakee,(815) 933-2412,Midwest Transit Equipment,IL,146 W Issert Dr,60901,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
FAIRBURY,Livingston,(815) 692-4471,"Popejoy Plumbing Heating and Electric, Inc.",IL,203 S 10th St,61739,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Evansville,,(812) 568-0700,Home Envy,IN,"4445 Commerce St,.",47710,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Littleton,McDonough,(319) 201-0283,Trinity Windows,IL,316 E Broadway St,61452,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Elgin,Kane,(847) 551-5911,101 Mobility - Elgin,IL,2531 Technology Dr Ste 305,60124,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Casey,Clark,(217) 232-5731,Stan Smith Construction,IL,10252 N 330th St,62420,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Schaumburg,Cook,(630) 890-4291,KJ Quality Remodelers INC,IL,318 Summit Ct,60193,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Rockford,Winnebago,(815) 262-6810,New Leaf Remodeling,IL,6551 E Riverside Blvd,61114,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Ottawa,LaSalle,(815) 433-5467,Liebhart Construction Inc.,IL,1301 Canal St,61350,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"Park Forest,",Cook,(708) 971-5095,Green Evans Management,IL,61 S Orchard Dr.,60466,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Savage,,(800) 956-6668,Rollx Vans,MN,6591 Highway 13 W,55378,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Alton,Madison,(618) 208-2400,Mungenast Alton Toyota,IL,850 Homer Adams Pkwy,62002,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Albertville,,(763) 497-0103,"Cummings Mobility Conversions & Supply, Inc",MN,6540 Jansen Ave NE,55301,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Watkinsville,,(706) 213-1144 x1011,Rehabmart LLC,GA,3651 Mars Hill Rd,30677,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Rockford,Winnebago,(815) 397-6500,Absolute Fire Protection,IL,5279 28th Ave,61109,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Palatine,Cook,(847) 207-6806,"Greg's Tile Service, Inc.",IL,338 N Oak St,60067,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Salem,Marion,(618) 548-5768,Security Alarm Corp,IL,1511 E MAIN ST,62881,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Champaign,Champaign,(217) 403-6444,FE Moran Security Solutions LLC,IL,201 E. University Ave,61820,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Niles,Cook,(847) 827-7456,Rustic Wood Fencing,IL,9116 N Milwaukee Ave,60714,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Chicago,Cook,(773) 501-6796,"Amazing Sensory Designs, LLC",IL,6701 S Crandon Ave Apt 10A,60649,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Champaign,Champaign,(217) 531-1661,"Illini Fire Service, LLC",IL,1600 N Oak St,61820,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Chicago,Cook,(312) 296-4423,Moore Management Inc,IL,3445 W Madison St,60624,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Orland Park,Will,(708) 968-1250,101 Mobility - Orland Park,IL,11535 183rd Pl Ste 102,60467,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Arden,,(877) 684-3581,SimplyHome,NC,48 Fisk Dr,28704,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Chicago,Cook,(847) 962-1565,Redfern Group Corp.,IL,"8223 W Irving Park Rd,",60634,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Wheeling,Cook,(847) 353-7200,Sentry Security LLC,IL,339 Egidi Dr,60090,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Moline,Rock Island,(309) 644-1727,HCI Marketing,IL,4270 27th St,61265,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Battle Creek,,(269) 660-1002,"Freedom Motors USA, Inc.",MI,740 Watkins Rd,49015,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Champaign,Champaign,(217) 234-2777,"Fire Equipment Sales and Service, Inc.",IL,1902 Fox Dr Ste B,61820,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Plainfield,Will,(630) 717-8349,"Capitol Construction Solutions, Inc.",IL,1050 State Route 126,60544,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Madison,Madison,(618) 910-8655,Tycour,IL,730 Madison Ave,62060,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Melrose Park,Cook,(708) 345-3939,New Ability Inc,IL,1005 Main St,60160,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Minneapolis,,(612) 670-2928,Accessibility 101,MN,7900 International Dr Ste 300,55425,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Willow Springs,Cook,(708) 839-4775,Slip-Proof Safety Inc,IL,320 Forest Ave,60480,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Montgomery,Kendall,(630) 892-7267,Ramp Now,IL,2280 Cornell Ave,60538,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Morton,Tazewell,(309) 263-1471,"L & F Electric, Inc.",IL,2125 Veterans Rd,61550,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Charlottesville,,(434) 977-6435,My Home For Life,VA,1388 River Brook Ct,29901,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Saint Charles,,(636) 939-5919,Petre Construction,MO,1016 Motherhead Rd,63304,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"Mount Vernon,",Jefferson,(618) 237-6000,Hutchison Medical,IL,16561 N County Farm Ln,62864,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Champaign,Champaign,(217) 398-0105 x3255,"Health Services Consultants, Inc.",IL,PO Box 3037,61826,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
Richfield,,(234) 312-2000,MobilityWorks,OH,4199 Kinross Lakes Pkwy Ste 300,44286,"Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
UNIVERSITY PARK,Will,708-534 6454,HEART TO HEART SERVICES INC,IL,621 OLD FORGE RD,60466,Adult Day Health Services
Trevose,,215-642-6600,"ACTIVE DAY IN, INC",PA,"6 Neshaminy Interplex, STE 401",19053,Adult Day Health Services
DOWNERS GROVE,DuPage,630-968 1060,COMMUNITY ADULT DAY CENTER,IL,4501 MAIN ST,60515,Adult Day Health Services
Paris,Edgar,217-465-4118,HUMAN RESOURCES OF EDGAR AND CLARK COUNTIES,IL,PO Box 1118  753 E Court Street,61944,Adult Day Health Services
Freeport,Stephenson,815-232-6181,PRESENCE LIFE CONNECTIONS,IL,659 E Jefferson Street,61032,Adult Day Health Services
OAKBROOK,Cook,630-990 5192,ADVOCATE HEALTH AND HOSPITALS,IL,2025 Windsor Drive,60523,Adult Day Health Services
Palatine,Cook,847-202 1249,"EUROPEAN SERVICES AT HOME, INC",IL,520 N Hicks Road,60067,Adult Day Health Services
Chicago,Cook,312-655-7573,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,IL,721 NORTH LASALLE,60654,Adult Day Health Services
ST. LOUIS,,(314) 252-2069,BEHAVIOR THERAPY SPECIALIST OF IL & MO,MO,126 W SARAH AVE,63122,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Freeport,Stephenson,(815) 233-6162,BROADSTEP ACADEMY-IL INC,IL,701 W. Lamm Rd.,61032,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FLOSSMOOR,Cook,(708) 647-6426,"FUNDERBURG, DYNATA",IL,Not Available,60422,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FREEPORT,Stephenson,(815) 266-4239,NORTHERN IL BEHAVIORAL SERVICES,IL,500 WEST SOUTH ST,61032,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
GALESBURG,Knox,(309) 344-2600,"KCCDD, INC.",IL,2015 WINDISH DR,61401,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
DYER,,(773) 618-2231,C L O PSYCHOLOGICAL SRV LTD,IN,925 KILLARNEY DR,46311,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
DIXON,Lee,(815) 288-6691,KREIDER SERVICES INC.,IL,500 ANCHOR RD P O BOX 366,61021,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
DECATUR,Macon,(217) 422-6361,A STEP FORWARD INC.,IL,5310 E WILLIAMS ST,62521,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Country Club Hills,Cook,(708) 510-7122,"Smith, Verma",IL,Not Available,60478,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Chicago,Cook,(847)772-0436,"Herrera, Alexis",IL,Not Available,60618,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Chicago,Cook,(618) 201-1146,"STUBNAR, HOLLY",IL,Not Available,60614,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Chicago,Cook,(832) 755-5521,"Chapman, Terrance",IL,Not Available,60613,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FAIRVIEW HEIGHTS,St Clair,(618) 277-4100,SUPPORT SYSTEMS AND SERVICES INC,IL,9510 St Clair Ave,62208,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FLORA,Clay,(618) 662-8494,CILA CORPORATION,IL,832-C W NORTH AVE P.O. BOX 160,62839,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
STREATOR,Livingston,(815) 673-5574,STREATOR UNLIMITED INC,IL,305 N Sterling St PO Box 706,61364,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FOREST PARK,COOK,(708) 257-6074,BEHAVIOR INTERVENTION & ORGANIZATIONAL SYSTEMS LLC dba BIOS ABA Consultants,IL,828 HANNAH AVE,60130,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FOREST PARK,Cook,(312) 720-9473,BEHAVIORAL LEARNING LLC,IL,1112 Elgin Ave,60130,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FRANKFORT,Will,(312) 342-0631,PATHWAYS THERAPEUTIC SERVICES INC,IL,15255 S 94TH AVE STE 500 PO BOX 1006,60423,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
FAIRVIEW HEIGHTS,St Clair,(618) 277-4100,FOREST CITY BEHAVIOR AND DEVELOPMENT,IL,9510 St Clair Ave,62208,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ZION,LAKE,(847) 872-1700,NORTHPOINTE RESOURCES INC,IL,3441 SHERIDAN RD,60099,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
SKOKIE,Cook,(847) 967-1800,HAWK PSYCHOLOGICAL SERVICES,IL,7660 Gross Point Road,60077,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
SPRINGFIELD,Sangamon,(217) 588-8638,"FRAKES, JENNIFER L",IL,Not Available,62702,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Morton,Tazewell,(309) 266-9781,"APOSTOLIC CHRISTIAN LIFEPOINTS, INC",IL,2125 Veterans Road,61550,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NAPERVILLE,DuPage,(331) 229-8839,INSTRUCTIONAL ABA CONSULTANTS inc,IL,"1975 McDowell Road, #101",60563,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NAPERVILLE,DuPage,(630) 579-4325,PREMIERCARE CONSULTING LLC,IL,"1811 High Grove Lane, Suite 139, 1st Floor",60540,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NEW BADEN,Clinton,(618) 588-7295,"ROYAL LIVING CENTER, INC",IL,200 SOUTH 9TH,62265,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NEW LENOX,Will,(815) 485-6197,TRINITY SERVICES INC,IL,301 Veterans Parkway,60451,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NILES,Cook,(708) 915-0920,MCALLISTER ANALYTICS INC,IL,7836 N Nora Ave,60714,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Rock Island,Rock Island,(309) 786-6474,THE ARC OF THE QUAD CITIES AREA,IL,4016 9th St,61201,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NORMAL,McLean,(309) 451-8888,MARCFIRST,IL,1606 HUNT DRIVE,61761,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NORTHBROOK,Cook,(847) 205-1234,COUNSELING SPECIAL NEEDS ADULTS,IL,610 Academy Dr,60062,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NORTHBROOK,Cook,(847) 205-1234,KESHET,IL,610 Academy Dr,60062,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NORTHBROOK,Cook,(847) 272-2222,FAMILIES BUILDING DREAMS,IL,2970 MARIA AVE #211,60062,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NORTHBROOK,Cook,(847) 272-2222,PRECISION ABA LLC,IL,2970 MARIA AVE #211,60062,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NORTHBROOK,Cook,(847) 272-5111,GLENKIRK,IL,3504 COMMERCIAL AVE.,60062,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
NORTHBROOK,Cook,(847) 559-1222,AURORA HOME CARE INC.,IL,2970 Maria Ave Suite 210,60062,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
OAK LAWN,Cook,(708) 425-3344,PARK LAWN SCHOOL and ACTIVITY,IL,10833 S LAPORTE AVE,60453,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
OAK LAWN,Cook,(708) 663-6964,"KRYSZAK, KELSEY",IL,Not Available,60453,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ORLAND PARK,Cook,(708) 586-9303,COPING TOGETHER SERVICES INC,IL,15127 S 73RD AVE STE C,60462,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Oak Park,Cook,(312) 404-7225,"LifeSpeed Behavioral Support Services, LLC",IL,"721 South Blvd, Suite 210",60302,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Orland Park,Cook,(708) 429-1260,CTF ILLLINOIS,IL,18230 Orland Parkway,60467,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
PALATINE,Cook,(847) 358-5510,LITTLE CITY FOUNDATION,IL,1760 W ALGONQUIN RD,60067,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
PALOS HEIGHTS,Cook,(708) 371-0800,BETHSHAN ASSOCIATION,IL,12927 S MONITOR AVE,60463,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ROMEOVILLE,Will,(630) 759-0201,INDIVIDUAL ADVOCACY GROUP INC,IL,1289 WINDHAM PARKWAY,60446,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
PEORIA,Peoria,(309) 253-1683,"FERN LEAF ABA, LLC",IL,"5739 W MARTINDALE LN,",61615,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
PRINCETON,Bureau,(815) 875-4548,"GATEWAY SERVICES, INC.",IL,406 S GOSSE BLVD,61356,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Peoria,Peoria,(309) 691-3800,EPIC,IL,1913 W Townline Rd,61615,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Plainfield,Will,(815) 230-2111,BETHESDA ABA,IL,13550 S Route 30 Ste 200,5087,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
QUINCY,Adams,(217) 223-0413,TRANSITIONS OF WESTERN ILLINOIS,IL,4409 Maine St,62305,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Marion,Williamson,(314) 428-2328,INDIVIDUAL BEHAVIOR SUPPORT LLC,IL,"1107 W Deyoung St, Suite 70",62959,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
SPRINGFIELD,Sangamon,(217) 793-2100,SPARC,IL,232 BRUNS LANE,62702,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MURPHYSBORO,Jackson,(618) 867-3881,TASH INC,IL,PO Box 338 - 1303 N 7th Street,62966,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
