Provider Name,Street Address,State,City,Zipcode,County,Phone Number
RAY GRAHAM ASSOCIATION,"901 Warrenville Road, Suite 500",Lisle,IL,60532,DuPage,630-620 2222
REHABILITATION AND VOCATIONAL EDUCATION PROGRAM,214 W DAVIE STREET,ANNA,IL,62906,Union,618-833-8525
RIMLAND SERVICES NFP,1265 HARTREY AVE,EVANSTON,IL,60202,Cook,847-328 4090
RIVERSIDE FOUNDATION,14588 WEST HIGHWAY 22,LINCOLNSHIRE,IL,60069,Lake,847-634 3973
ROCK RIVER VALLEY SELF HELP ENTERPRISES,2300 W. LE FEVRE ROAD,STERLING,IL,61081,Whiteside,815-626 3115
ROLLING HILLS CENTER,201 IL Rt 64,LANARK,IL,61046,Carroll,815-493 2321
SEARCH DEVELOPMENTAL CENTER,1925 N CLYBOURN AVE STE 200,CHICAGO,IL,60614,Cook,773-305 5000
SERTOMA CENTRE INC,4343 W 123RD ST,ALSIP,IL,60803,Cook,708-371 9700
SHELBY COUNTY COMMUNITY SERVICES INC,1810 W S 3RD STREET,SHELBYVILLE,IL,62565,Shelby,217-774 5587
"SHORE COMMUNITY SERVICES, INC",8350 LARAMIE AVE,SKOKIE,IL,60077,Cook,847-982 2030
SOUTH CHICAGO PARENTS and FRIEND,10241 S COMMERCIAL AVE,CHICAGO,IL,60617,Cook,773-734 2222
SPARC,232 BRUNS LANE,SPRINGFIELD,IL,62702,Sangamon,217-793 2100
SPECIALIZED TRAINING FOR ADULT REHABILITATION,"20 North 13st Street, P.O. BOX 938",MURPHYSBORO,IL,62966,Jackson,618-687 2378
SPRINGFIELD DEVELOPMENTAL CENTER,4595 LAVERNA ROAD,SPRINGFIELD,IL,62707,Sangamon,217-525 8271
ST CLAIR ASSOCIATED VOCATIONAL ENTERPRISES INC,3001 SAVE RD.,BELLEVILLE,IL,62221,St Clair,618-234 1992
ST COLETTA OF WISCONSIN INC,N4637 COUNTY ROAD Y,JEFFERSON,WI,53549,N/A,920-674 4330
ST COLETTA'S OF ILLINOIS,18350 CROSSING DR,TINLEY PARK,IL,60487,Cook,708-342-5200
ST MARY OF PROVIDENCE SCHOOL,4200 N Austin,CHICAGO,IL,60634,Cook,773-545 8300
STREATOR UNLIMITED INC,305 N Sterling St PO Box 706,STREATOR,IL,61364,Livingston,815-673 5574
SWANN SPECIAL CARE CENTER,109 Kenwood Rd,Champaign,IL,61821,Champaign,217-356-5164
"TAZEWELL COUNTY RESOURCE CENTER, INC.",21310 Illinois Rt #9,TREMONT,IL,61568,Tazewell,309-347 7148
THE ARC OF IROQUOIS COUNTY,700 East Elm St,WATSEKA,IL,60970,Iroquois,815-432 5288
THE ARC OF THE QUAD CITIES AREA,4016 9th St,Rock Island,IL,61201,Rock Island,309-786 6474
THE DOUGLAS CENTER,3445 W Howard St,SKOKIE,IL,60076,Cook,847-674 4169
THE WORKSHOP,706 S. West St PO BOX 6087,GALENA,IL,61036,Jo Daviess,815-777 2211
TRADE INDUSTRIES,"1020 E. Randolph St P.O. Box 70,",MCLEANSBORO,IL,62859,Hamilton,618-643 4321
TRANSITIONS OF WESTERN ILLINOIS,4409 Maine St,QUINCY,IL,62305,Adams,217-223-0413
TRINITY SERVICES INC,301 Veterans Parkway,NEW LENOX,IL,60451,Will,815-485 6197
United Cerebral Palsy - Center for Disability Services,311 S Reed Street,Joliet,IL,60436,Will,815-744-3500
UNITED CEREBRAL PALSY SEGUIN OF GREATER CHICAGO,3100 South Central Ave,CICERO,IL,60804,Cook,708-863-3803
VILLAGE OF PROGRESS INC,"710 S 13th St, P.O. Box 418",OREGON,IL,61061,Ogle,815-732 2126
WABASH AREA VOCATIONAL INC,1310 W 3rd PO Box 487,MT CARMEL,IL,62863,Wabash,618-262 8614
WARREN ACHIEVEMENT CENTER,1220 East 2nd Ave,MONMOUTH,IL,61642,Warren,309-734 3131
WASHINGTON COUNTY VOCATIONAL WORKSHOP,781 Holzhauer Dr PO Box 273,NASHVILLE,IL,62263,Washington,618-327 4461
WILLIAM M BEDELL ACHIEVEMENT,P O BOX 349 - 400 S Main,WOOD RIVER,IL,62095,Madison,618-251 2175
WORKSOURCE ENTERPRISE NFP,3713 N Vermillion,DANVILLE,IL,61832,Vermilion,217-446 1146
