Provider Name,Address,Phone Number,Verified,Matched Data
CORNERSTONE SERVICES,777 JOYCE RD,(815) 727-6666,True,"{'id': '0QH83Ow8elwLuRK8OzNDdg', 'alias': 'cornerstone-kitchens-and-baths-chicago', 'name': 'Cornerstone Kitchens And Baths', 'image_url': 'https://s3-media3.fl.yelpcdn.com/bphoto/lzzIYMXZgi3b_wiLFPu5Kw/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/cornerstone-kitchens-and-baths-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 5, 'categories': [{'alias': 'cabinetry', 'title': 'Cabinetry'}, {'alias': 'tiling', 'title': 'Tiling'}, {'alias': 'kitchenandbath', 'title': 'Kitchen & Bath'}], 'rating': 4.4, 'coordinates': {'latitude': 41.922607049346, 'longitude': -87.7067280560732}, 'transactions': [], 'location': {'address1': '2247 N Kedzie Blvd', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2247 N Kedzie Blvd', 'Chicago, IL 60647']}, 'phone': '+17735733742', 'display_phone': '(773) 573-3742', 'distance': 3098.863698848892, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'open24_hours': None, 'waitlist_reservation': None}}"
EPIC,1913 W Townline Rd,(309) 691-3800,True,"{'formatted_address': '1913 W Townline Rd, Peoria, IL 61615, United States', 'name': 'EP!C', 'place_id': 'ChIJkXFGCKtECogRJ7vLpe4a4cA'}"
ESPERANZA COMMUNITY SERVICES,520 N MARSHFIELD AVE,(312) 243-6097,True,"{'id': 'S6n8f0rZTRGnT36IisoBMw', 'alias': 'esperanza-community-services-chicago-3', 'name': 'Esperanza Community Services', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/esperanza-community-services-chicago-3?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 4, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}], 'rating': 3.0, 'coordinates': {'latitude': 41.8913116455078, 'longitude': -87.6687774658203}, 'transactions': [], 'location': {'address1': '520 N Marshfield Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['520 N Marshfield Ave', 'Chicago, IL 60622']}, 'phone': '+13122436097', 'display_phone': '(312) 243-6097', 'distance': 1693.9581676016824, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0800', 'end': '1630', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1630', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1630', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1630', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1630', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
FOREST CITY BEHAVIOR AND DEVELOPMENT,9510 St Clair Ave,(618) 277-4100,True,"{'formatted_address': 'St Clair Ave, Beverly Shores, IN, USA', 'name': 'St Clair Ave', 'place_id': 'ChIJe-epmn-mEYgR6E-e5lmQ794'}"
GLENKIRK,3504 COMMERCIAL AVE.,(847) 272-5111,True,"{'id': 'Ny4yWaK5S8EeXng82kvG4Q', 'alias': 'glenkirk-northbrook', 'name': 'Glenkirk', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/glenkirk-northbrook?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 0, 'categories': [], 'rating': 0.0, 'coordinates': {'latitude': 42.1471366882324, 'longitude': -87.8657684326172}, 'transactions': [], 'location': {'address1': '3504 Commercial Ave', 'address2': '', 'address3': '', 'city': 'Northbrook', 'zip_code': '60062', 'country': 'US', 'state': 'IL', 'display_address': ['3504 Commercial Ave', 'Northbrook, IL 60062']}, 'phone': '+18472725111', 'display_phone': '(847) 272-5111', 'distance': 31066.723023409275, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
HELPING HAND CENTER,9649 W 55TH ST,(708) 352-3580,True,"{'id': 'ieGzHjkNbcLd-pNpWiLp8w', 'alias': 'helping-hand-center-countryside', 'name': 'Helping Hand Center', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/HWWVypTpXLu_sH9RYz5SVA/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/helping-hand-center-countryside?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 5, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'specialed', 'title': 'Special Education'}], 'rating': 4.2, 'coordinates': {'latitude': 41.790126, 'longitude': -87.860694}, 'transactions': [], 'location': {'address1': '9649 W 55th St', 'address2': '', 'address3': '', 'city': 'Countryside', 'zip_code': '60525', 'country': 'US', 'state': 'IL', 'display_address': ['9649 W 55th St', 'Countryside, IL 60525']}, 'phone': '+17083523580', 'display_phone': '(708) 352-3580', 'distance': 19831.74950903318, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
JOSEPH REHABILITATION CENTER,21209 SHANNON AVENUE,(708) 720-3315,True,"{'id': 'NdMd6OTOdX-x-Ysu3HmFjA', 'alias': 'st-joseph-village-of-chicago-chicago', 'name': 'St. Joseph Village of Chicago', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/-b3nzfc-zgW3tClvhJHEtQ/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/st-joseph-village-of-chicago-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 12, 'categories': [{'alias': 'skillednursing', 'title': 'Skilled Nursing'}, {'alias': 'assistedliving', 'title': 'Assisted Living Facilities'}, {'alias': 'rehabilitation_center', 'title': 'Rehabilitation Center'}], 'rating': 2.8, 'coordinates': {'latitude': 41.938472, 'longitude': -87.728591}, 'transactions': [], 'location': {'address1': '4021 West Belmont Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60641', 'country': 'US', 'state': 'IL', 'display_address': ['4021 West Belmont Ave', 'Chicago, IL 60641']}, 'phone': '+17733285500', 'display_phone': '(773) 328-5500', 'distance': 5608.36650147901, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
KESHET,610 Academy Dr,(847) 205-1234,True,"{'id': '5UwXQ2T8U8eKo8NroaJ8eQ', 'alias': 'keshet-northbrook', 'name': 'Keshet', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/keshet-northbrook?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 0, 'categories': [], 'rating': 0.0, 'coordinates': {'latitude': 42.1411071, 'longitude': -87.8591065}, 'transactions': [], 'location': {'address1': '617 Landwehr Rd', 'address2': '', 'address3': '', 'city': 'Northbrook', 'zip_code': '60062', 'country': 'US', 'state': 'IL', 'display_address': ['617 Landwehr Rd', 'Northbrook, IL 60062']}, 'phone': '+18472051234', 'display_phone': '(847) 205-1234', 'distance': 30281.023907753995, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
LITTLE CITY FOUNDATION,1760 W ALGONQUIN RD,(847) 358-5510,True,"{'id': 'A5Krxv0sqEm-rTHRtkY0GA', 'alias': 'little-city-foundation-chicago', 'name': 'Little City Foundation', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/little-city-foundation-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}], 'rating': 1.0, 'coordinates': {'latitude': 41.8934, 'longitude': -87.70274}, 'transactions': [], 'location': {'address1': '700 N Sacramento Blvd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60612', 'country': 'US', 'state': 'IL', 'display_address': ['700 N Sacramento Blvd', 'Chicago, IL 60612']}, 'phone': '+17732651539', 'display_phone': '(773) 265-1539', 'distance': 2415.699332831739, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
MARCFIRST,1606 HUNT DRIVE,(309) 451-8888,True,"{'id': 'bbhn11wPl-_HxOwPAeQIkQ', 'alias': 'marcfirst-normal', 'name': 'Marcfirst', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/marcfirst-normal?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}], 'rating': 5.0, 'coordinates': {'latitude': 40.5127565106044, 'longitude': -88.9540103}, 'transactions': [], 'location': {'address1': '1606 Hunt Dr', 'address2': None, 'address3': None, 'city': 'Normal', 'zip_code': '61761', 'country': 'US', 'state': 'IL', 'display_address': ['1606 Hunt Dr', 'Normal, IL 61761']}, 'phone': '+13094518888', 'display_phone': '(309) 451-8888', 'distance': 188063.1766795844, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0800', 'end': '1530', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1530', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1530', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1530', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1530', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
MISERICORDIA HOME,6300 N RIDGE,(773) 973-6300,True,"{'id': 'NXKp9WeGpDgZOWzjVHqtJw', 'alias': 'rogers-park-chamber-of-commerce-chicago', 'name': 'Rogers Park Chamber of Commerce', 'image_url': 'https://s3-media1.fl.yelpcdn.com/bphoto/jmQhfJ7uraboM3ag0YnMVA/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/rogers-park-chamber-of-commerce-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'publicservicesgovt', 'title': 'Public Services & Government'}], 'rating': 5.0, 'coordinates': {'latitude': 42.01788598169097, 'longitude': -87.6679455}, 'transactions': [], 'location': {'address1': '7455 N Greenview Ave', 'address2': 'Ste 317', 'address3': '', 'city': 'Chicago', 'zip_code': '60626', 'country': 'US', 'state': 'IL', 'display_address': ['7455 N Greenview Ave', 'Ste 317', 'Chicago, IL 60626']}, 'phone': '+17738500049', 'display_phone': '(773) 850-0049', 'distance': 12560.893244586283, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
"NELSON, SCOTT",6036 NORTH WINCHESTER,(847) 626-4816,True,"{'id': 'RdV5pBghvEnz5P02TLW2oQ', 'alias': 'nelson-scott-m-libertyville', 'name': 'Nelson Scott M', 'image_url': 'https://s3-media3.fl.yelpcdn.com/bphoto/obZ8fyogqec0Cg0K7sHFIg/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/nelson-scott-m-libertyville?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'divorce', 'title': 'Divorce & Family Law'}, {'alias': 'realestatelawyers', 'title': 'Real Estate Law'}], 'rating': 5.0, 'coordinates': {'latitude': 42.2732696533203, 'longitude': -87.9428634643555}, 'transactions': [], 'location': {'address1': '746 7th Ave', 'address2': '', 'address3': '', 'city': 'Libertyville', 'zip_code': '60048', 'country': 'US', 'state': 'IL', 'display_address': ['746 7th Ave', 'Libertyville, IL 60048']}, 'phone': '+18473676232', 'display_phone': '(847) 367-6232', 'distance': 46412.24329346177, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
